"compound","SMILES"
"C7H5NO9","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(C)C(=O)(O)"
"C5H3NO8","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)"
"C7H3NO11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C(=O)(O))C(=O)"
"C7H4N2O12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C(ON(=O)(=O)))C(=O)"
"C7H5NO11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C(OO))C(=O)"
"C7H5NO9","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C)C(=O)"
"C6H3NO10","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)C(=O)(O)"
"C7H4N2O12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)C(=O)C(ON(=O)(=O))"
"C7H4N2O11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(ON(=O)(=O))(C)C(=O)"
"C7H4N2O11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(ON(=O)(=O))C(=O)C"
"C7H5NO11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(OO)(C)C(=O)(O)"
"C7H4N2O11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))=C(N(=O)(=O))C(=O)(O)"
"C7H5NO8","C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))=CC(=O)"
"C7H5NO9","C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))=CC(=O)(O)"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))C(=O)(O)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))C(=O)C(=O)(O)"
"C7H4N2O11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(ON(=O)(=O)))=CC(=O)(O)"
"C7H4N2O12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(ON(=O)(=O)))C(=O)C(=O)(O)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(OO))=CC(=O)(O)"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(OO))C(=O)"
"C7H5NO8","C(=O)(N(=O)(=O))C(=O)OC(=O)C(C)=CC(=O)(O)"
"C7H5NO9","C(=O)(N(=O)(=O))C(=O)OC(=O)C(C)C(=O)C(=O)(O)"
"C7H5NO13","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(=O)(OO))C(O)C(=O)(O)"
"C7H5NO11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(=O))C(OO)C(=O)"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(O))C(=O)"
"C7H5NO11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(O))C(=O)C(=O)(O)"
"C7H4N2O12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(ON(=O)(=O)))C(=O)C(=O)"
"C7H5NO12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(OO))C(=O)C(=O)(O)"
"C6H5NO8","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(=O)"
"C7H7NO9","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(O)C(=O)"
"C7H7NO10","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(O)C(=O)(O)"
"C7H6N2O11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(ON(=O)(=O))C(=O)"
"C7H7NO11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(OO)C(=O)(O)"
"C7H7NO12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(OO)C(=O)(OO)"
"C6H4N2O12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(N(=O)(=O))C(O)C(=O)(O)"
"C6H3NO9","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(=O)C(=O)"
"C7H5NO11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(=O)C(=O)C(OO)"
"C7H5NO12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(C(=O)(O))C(=O)(O)"
"C7H6N2O13","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(C(=O)(O))C(ON(=O)(=O))"
"C7H7NO11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(C(OO))C(=O)"
"C7H7NO10","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(C)C(=O)(O)"
"C6H4N2O12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(N(=O)(=O))C(=O)(O)"
"C7H7NO11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)C(=O)C(OO)"
"C7H6N2O12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(ON(=O)(=O))(C(O))C(=O)"
"C7H6N2O11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(ON(=O)(=O))(C)C(=O)"
"C7H6N2O13","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(ON(=O)(=O))(C)C(=O)(OO)"
"C7H7NO11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(OO)(C(O))C(=O)"
"C7H7NO11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(OO)(C)C(=O)(O)"
"C6H4N2O14","C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(OO)C(=O)(OON(=O)(=O))"
"C7H6N2O12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))(C)C(O)C(=O)(O)"
"C7H6N2O13","C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))(C)C(O)C(=O)(OO)"
"C7H6N2O12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(O)(C)C(=O)(O)"
"C6H4N2O12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(O)C(=O)(O)"
"C7H6N2O14","C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(OO)(C(O))C(=O)(O)"
"C7H6N2O12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(OO)(C)C(=O)"
"C7H6N2O13","C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(OO)(C)C(=O)(O)"
"C7H6N2O14","C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(OO)(C)C(=O)(OO)"
"C7H7NO12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)(C(O))C(O)C(=O)(O)"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)(C)C(=O)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)(C)C(=O)C(=O)"
"C7H7NO10","C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)(C)C(O)C(=O)"
"C6H3NO9","C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)=CC(=O)"
"C6H4N2O12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(=O)C(ON(=O)(=O))"
"C7H5NO11","C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(C(=O)(O))C(=O)"
"C7H7NO10","C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(O)(C)C(=O)"
"C7H7NO12","C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(O)(C)C(=O)(OO)"
"C7H6N2O14","C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(O)(C)C(=O)(OON(=O)(=O))"
"C6H4N2O14","C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(ON(=O)(=O))C(=O)(OO)"
"C5H5NO10","C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(OO)"
